Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YPR185W	Q06628									"MOD_RES 344;  /note=""Phosphoserine; by PKA"";  /evidence=""ECO:0000269|PubMed:19805182""; MOD_RES 348;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911""; MOD_RES 355;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 437;  /note=""Phosphoserine; by TORC1 and PKA"";  /evidence=""ECO:0000269|PubMed:19805182, ECO:0000269|PubMed:19995911""; MOD_RES 438;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911""; MOD_RES 461;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 496;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911""; MOD_RES 535;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911""; MOD_RES 541;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911""; MOD_RES 554;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 581;  /note=""Phosphoserine; by PKA"";  /evidence=""ECO:0000269|PubMed:19805182""; MOD_RES 646;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911""; MOD_RES 649;  /note=""Phosphoserine; by TORC1"";  /evidence=""ECO:0000269|PubMed:19995911, ECO:0007744|PubMed:15665377, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""									"REGION 279..359;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 377..462;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 432..520;  /note=""Interaction with ATG1""; REGION 521..599;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 690..719;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YIL146C	P40458									"MOD_RES 114;  /note=""Phosphoserine"";  /evidence=""ECO:0000269|PubMed:21757540""; MOD_RES 119;  /note=""Phosphoserine"";  /evidence=""ECO:0000269|PubMed:21757540"""									"REGION 1..41;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 345..381;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR128C	P38270														"COILED 25..156;  /evidence=""ECO:0000255"""	DOMAIN: Coiled-Coils at the N-terminal half are essential for interaction with VPS30 and VPS34 and autophagy. {ECO:0000269|PubMed:16421251}.			"REGION 3..18;  /note=""Cysteine repeats"";  /evidence=""ECO:0000250"""	
YHR018C	P04076				"SITE 296;  /note=""Increases basicity of active site His"";  /evidence=""ECO:0000250|UniProtKB:P24058"""					"MOD_RES 27;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YLR356W	Q06485									"MOD_RES 127;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 129;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 135..154;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YOL083W	Q12292																		"REGION 246..348;  /note=""AMS1-binding"""	
YJL185C	P46983																		"REGION 98..121;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 250..273;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR211C	Q05789									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""					"COILED 52..85;  /evidence=""ECO:0000255""; COILED 161..215;  /evidence=""ECO:0000255"""					
YLR312C	Q06159																	"MOTIF 8..11;  /note=""ATG8-binding"";  /evidence=""ECO:0000305|PubMed:26040717""; MOTIF 52..59;  /note=""ATG11-binding"";  /evidence=""ECO:0000305|PubMed:26040717"""	"REGION 15..50;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR423C	Q06410														"COILED 146..221;  /evidence=""ECO:0000255""; COILED 353..384;  /evidence=""ECO:0000255"""					
YFR021W	P43601									"MOD_RES 354;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""						"DOMAIN: The 377 first amino acids might form a beta-propeller domain involved in specific binding to phosphatidylinositol 3,5-bisphosphate (PIP2), leading to the association of the protein to the membrane. Association to the membrane can also occur through binding to phosphatidylinositol 3-monophosphate (PI3P). {ECO:0000269|PubMed:22753491}.; DOMAIN: The L/FRRG motif is essential for the cytoplasm to vacuole transport (Cvt) pathway, for the recruitment of ATG8 and ATG16 to the PAS in nutrient-rich medium, and for its recruitment to and dissociation from the PAS under starvation conditions. {ECO:0000269|PubMed:16876790}."		"MOTIF 284..288;  /note=""L/FRRG motif"";  /evidence=""ECO:0000303|PubMed:16876790"""	"REGION 174..197;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 284..287;  /note=""Necessary for proper localization to vacuole membrane""; REGION 328..358;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YOL082W	P35193					"CROSSLNK 213;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000269|PubMed:16186126""; CROSSLNK 216;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000269|PubMed:16186126"""				"MOD_RES 136;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 141;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 243;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358"""					"COILED 157..187;  /evidence=""ECO:0000255"""	DOMAIN: The coiled coil domain is required for the interaction with LAP4.; DOMAIN: The C-terminal WXXL motif is crucial for ATG8-binding and Cvt pathway.		"MOTIF 412..415;  /note=""WXXL"""	"REGION 21..28;  /note=""ATG11-binding""; REGION 126..150;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 254..367;  /note=""AMS1-binding""; REGION 406..415;  /note=""ATG8-binding"""	
YOL058W	P22768			"NP_BIND 9..17;  /note=""ATP"";  /evidence=""ECO:0000250""; NP_BIND 114..122;  /note=""ATP"";  /evidence=""ECO:0000250"""																
YCR068W	P25641							"CARBOHYD 173;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 202;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 208;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""												
YBL069W	P35183																			
YER101C	P39945																			
YKL016C	P30902									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0000269|PubMed:1832157"""										
YBR136W	P38111																"DOMAIN 1399..1944;  /note=""FAT"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534""; DOMAIN 2049..2352;  /note=""PI3K/PI4K catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""; DOMAIN 2336..2368;  /note=""FATC"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534, ECO:0000255|PROSITE-ProRule:PRU00535"""		"REGION 2055..2061;  /note=""G-loop"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""; REGION 2140..2368;  /note=""Binding to the RPA complex""; REGION 2221..2229;  /note=""Catalytic loop"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""; REGION 2241..2265;  /note=""Activation loop"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269"""	
YDR322C-A	P81449									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0000269|PubMed:9857174"""										
YNL259C	P38636		"METAL 15;  /note=""Copper"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00280""; METAL 18;  /note=""Copper"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00280"""														"DOMAIN 4..68;  /note=""HMA"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00280"""			
YBL082C	P38179																			
YDR242W	P22580																			
YGL256W	P10127																			
YNL048W	P53954							"CARBOHYD 262;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 393;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 480;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 490;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""												
YER052C	P10869									"MOD_RES 333;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:17330950"""							"DOMAIN 367..440;  /note=""ACT 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01007""; DOMAIN 442..527;  /note=""ACT 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01007"""			
YBR085W	P18238															"DOMAIN: The transmembrane helices are not perpendicular to the plane of the membrane, but cross the membrane at an angle. Odd-numbered transmembrane helices exhibit a sharp kink, due to the presence of a conserved proline residue. {ECO:0000250|UniProtKB:G2QNH0}."		"MOTIF 241..246;  /note=""Nucleotide carrier signature motif"";  /evidence=""ECO:0000250|UniProtKB:P02722"""	"REGION 241..246;  /note=""Important for transport activity"";  /evidence=""ECO:0000250|UniProtKB:P12235"""	
YMR056C	P04710															"DOMAIN: The transmembrane helices are not perpendicular to the plane of the membrane, but cross the membrane at an angle. Odd-numbered transmembrane helices exhibit a sharp kink, due to the presence of a conserved proline residue. {ECO:0000250|UniProtKB:G2QNH0}."		"MOTIF 243..248;  /note=""Nucleotide carrier signature motif"";  /evidence=""ECO:0000250|UniProtKB:P02722"""	"REGION 243..248;  /note=""Important for transport activity"";  /evidence=""ECO:0000250|UniProtKB:P12235"""	
YOR129C	Q99222														"COILED 152..172;  /evidence=""ECO:0000255""; COILED 872..892;  /evidence=""ECO:0000255"""		"DOMAIN 28..335;  /note=""uDENN"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00304""; DOMAIN 365..492;  /note=""cDENN"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00304""; DOMAIN 494..640;  /note=""dDENN"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00304"""		"REGION 25..488;  /note=""Interaction with active ARF3""; REGION 841..893;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL105W	P46672																"DOMAIN 205..307;  /note=""tRNA-binding"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00209"""		"REGION 22..46;  /note=""Interaction with methionyl-tRNA synthetase MES1""; REGION 52..61;  /note=""Interaction with glutamyl-tRNA synthetase GUS1""; REGION 91..121;  /note=""Interaction with glutamyl-tRNA synthetase GUS1""; REGION 133..206;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR111C	P52892									"MOD_RES 327;  /note=""N6-(pyridoxal phosphate)lysine"";  /evidence=""ECO:0000250"""										
YMR184W	Q03233									"MOD_RES 79;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""										
YEL063C	P04817									"MOD_RES 54;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:P32487""; MOD_RES 66;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:P32487"""										
YDL008W	Q12157																			"ZN_FING 52..95;  /note=""RING-type; atypical"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175"""
YKL157W	P32454		"METAL 396;  /note=""Zinc; catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU10095""; METAL 400;  /note=""Zinc; catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU10095""; METAL 419;  /note=""Zinc; catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU10095"""		"SITE 482;  /note=""Transition state stabilizer"";  /evidence=""ECO:0000250"""			"CARBOHYD 381;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 713;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""						"TRANSIT 1..52;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""					"REGION 360..364;  /note=""Substrate binding"";  /evidence=""ECO:0000250"""	
YBL037W	P38065									"MOD_RES 727;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 733;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 713..737;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YMR010W	Q03687																"DOMAIN 252..309;  /note=""PQ-loop"";  /evidence=""ECO:0000255"""		"REGION 379..405;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YJR046W	P47112																			
YGR261C	P46682									"MOD_RES 693;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 698;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 724;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 726;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""									"REGION 708..739;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 763..809;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR288C	P38153																"DOMAIN 211..482;  /note=""MHD"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00404"""			
YMR213W	Q03654	"DNA_BIND 33..56;  /note=""H-T-H motif"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00625""; DNA_BIND 84..106;  /note=""H-T-H motif"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00625"""															"DOMAIN 1..60;  /note=""HTH myb-type 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00625""; DOMAIN 63..110;  /note=""HTH myb-type 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00625"""		"REGION 244..286;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 336..355;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 460..490;  /note=""Interaction with PRP19 and self-interaction"""	
YHR126C	P38832								"LIPID 137;  /note=""GPI-anchor amidated glycine"";  /evidence=""ECO:0000255"""			"PROPEP 138..159;  /note=""Removed in mature form"";  /evidence=""ECO:0000255"";  /id=""PRO_0000402190"""	"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YCR094W	P25656							"CARBOHYD 199;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 216;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 237;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 288;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 329;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""											"REGION 1..25;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR392C	P18634					"CROSSLNK 118;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""														
YKL022C	P09798																		"REGION 67..97;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 173..212;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 329..350;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 802..840;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR182W	P40986		"METAL 95;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000250""; METAL 144;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000250""; METAL 144;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250""; METAL 183;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250""; METAL 323;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000250"""																"REGION 1..33;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YPR034W	Q12406																			
YOR152C	Q99325												"SIGNAL 1..16;  /evidence=""ECO:0000255"""					"MOTIF 242..245;  /note=""ATG8-binding"";  /evidence=""ECO:0000305|PubMed:26040717"""	"REGION 197..243;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YPL250C	Q12048															DOMAIN: The C-terminal 10 residues are required for the association with ATG9 (PubMed:26565778). {ECO:0000269|PubMed:26565778}.			"REGION 127..136;  /note=""ATG9-binding"";  /evidence=""ECO:0000269|PubMed:26565778"""	
YLR003C	Q07897									"MOD_RES 59;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358"""									"REGION 22..79;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR295W	P38360		"METAL 421;  /note=""Copper"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00280""; METAL 424;  /note=""Copper"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00280""; METAL 1107;  /note=""Magnesium""; METAL 1111;  /note=""Magnesium"""														"DOMAIN 410..477;  /note=""HMA"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00280"""		"REGION 250..350;  /note=""Metal-responding degradation signal"""	
YGR093W	P53255									"MOD_RES 242;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""										
YHR007C	P10614		"METAL 470;  /note=""Iron (heme axial ligand)"";  /evidence=""ECO:0000269|PubMed:24613931, ECO:0007744|PDB:4LXJ, ECO:0007744|PDB:5EQB"""			"CROSSLNK 116;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047""; CROSSLNK 353;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047""; CROSSLNK 454;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 458;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950"""										
YGR120C	P53271																			
YGR247W	P53314																			
YML129C	P39103																		"REGION 49..70;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR087C	Q12150							"CARBOHYD 82;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 117;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 144;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 271;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 478;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 530;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 816;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 821;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 839;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 892;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1309;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1368;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1453;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1785;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 1921;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2130;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2146;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2280;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2337;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2520;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2578;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2719;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 2869;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""											"REGION 813..834;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1175..1196;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR518W	P32474							"CARBOHYD 159;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 174;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 207;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 293;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 462;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""					"SIGNAL 1..29;  /evidence=""ECO:0000255"""				"DOMAIN 30..141;  /note=""Thioredoxin 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00691""; DOMAIN 355..487;  /note=""Thioredoxin 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00691"""	"MOTIF 514..517;  /note=""Prevents secretion from ER"""		
YPL279C	Q08991							"CARBOHYD 109;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00498""; CARBOHYD 117;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00498""; CARBOHYD 235;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00498"""												
YCL036W	P25370																		"REGION 1..41;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLR364W	Q05926						"DISULFID 25..28;  /note=""Redox-active"";  /evidence=""ECO:0000305"""										"DOMAIN 5..109;  /note=""Glutaredoxin"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00686"""			
YDR221W	Q04924						"DISULFID 539..552;  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01262""; DISULFID 646..675;  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01262""; DISULFID 660..687;  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01262"""	"CARBOHYD 145;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 240;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 358;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 520;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 525;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 688;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 699;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""					"SIGNAL 1..20;  /evidence=""ECO:0000255"""		"COILED 163..228;  /evidence=""ECO:0000255""; COILED 478..517;  /evidence=""ECO:0000255"""		"DOMAIN 537..689;  /note=""MRH"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01262"""		"REGION 435..457;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YLL026W	P31539			"NP_BIND 212..219;  /note=""ATP 1"";  /evidence=""ECO:0000255""; NP_BIND 614..621;  /note=""ATP 2"";  /evidence=""ECO:0000255"""		"CROSSLNK 442;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047""; CROSSLNK 620;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000269|PubMed:14557538"""				"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 206;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 306;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 499;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 535;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""					"COILED 412..536;  /evidence=""ECO:0000255"""	"DOMAIN: Has 2 AAA ATPase type nucleotide-binding domains (NBDs) per monomer, a low-affinity, high-turnover site (NBD1) and a high-affinity site (NBD2) with a 300-fold slower rate of hydrolysis. There is allosteric regulation between the 2 sites. ATP binding to NBD1 triggers binding of polypeptides and stimulates ATP hydrolysis at NBD2. Nucleotide binding to NBD2 is crucial for oligomerization.; DOMAIN: The C-terminal extension is involved in oligomerization."	"DOMAIN 4..150;  /note=""Clp R"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01251"""	"MOTIF 773..789;  /note=""Nuclear localization signal"""	"REGION 7..76;  /note=""Repeat 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01251""; REGION 88..150;  /note=""Repeat 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01251""; REGION 167..411;  /note=""NBD1""; REGION 541..731;  /note=""NBD2""; REGION 883..908;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 905..908;  /note=""Interaction surface for TPR repeats"""	
YGL194C	P53096																		"REGION 26..340;  /note=""Histone deacetylase""; REGION 428..452;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHR092C	P32467					"CROSSLNK 45;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000269|PubMed:14557538"""		"CARBOHYD 425;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""											"REGION 1..56;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR017C	P38217																		"REGION 361..395;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
